Commit_Id,PR,Repo
bfae299472d4e07943561d2c2dc9cc386ca99585,TM-1902 Upgrade user-manager-sdk version to overcome the issue in BU validator API,saas-platform-ms-tenant-manager
dc7a96580154bc0b78e30d0e4b56908f3bff5134,Pull request #807: TM-1856 Add autoscaling for the newly added index,saas-platform-ms-tenant-manager
49964877ac69186c9acee25413dc0d9b77b04c0b,TM-1856 Add autoscaling for the newly added index,saas-platform-ms-tenant-manager
723e3b1209521dbbac39c06d9ab785b4e2112950,Pull request #805: TM-1781 Add retry logic for DDB auto scaling,saas-platform-ms-tenant-manager
041e58019275d5945022fa6f77741bfc3b34c87d,Pull request #806: TM-1862: Modified getTenantById & schemaName api to work with index in,saas-platform-ms-tenant-manager
2435fe16a2f8394d08468efcfd0acfb97804f357,TM-1862: Modified getSubTenantbyId & getSubTenantbySchema apis to use indexed call in pace,saas-platform-ms-tenant-manager
f00e662935468790ab7a5f133085a56026746a67,TM-1781 Resolved Review Comments,saas-platform-ms-tenant-manager
7a65efb8e09e0d6ffc1ce70c0292f814e6ac7930,TM-1781 Add UT for DDB auto scaling,saas-platform-ms-tenant-manager
63692799b82355e6121a43edae851e764fab7716,TM-1781 Add retry logic for DDB auto scaling,saas-platform-ms-tenant-manager
255ae9ff42e61d62797cdb7dbed8aa6a6fc57f9c,TM-1862: Modified getTenantById & schemaName api to work with index in place of using filt,saas-platform-ms-tenant-manager
3d8fbe8843386523d0fe612e7911ac782630a5e8,Pull request #804: Feature/TM-1856 modify customer base scheduler,saas-platform-ms-tenant-manager
0535356d77c0b0b38424a75adde0e22750f3840f,IC-132782 Increase RCUs for wfo-perf and test-nvir environmetns requested by Vipul Bonde,saas-platform-ms-tenant-manager
df4d879829968eccac927e9377e8b8729d6d4336,TM-1856 Fix datakey exception coming when the tenant returned from DDB is null,saas-platform-ms-tenant-manager
72c5adf4b21fb6ce31a8f722d6b925d5c4359d3a,Pull request #803: TM-1862: Fixed Search call for service user,saas-platform-ms-tenant-manager
b63c746c520fc1f2278f51edb66ee19daf18ad77,TM-1862: Removed FT of Deletion Flag from new Api,saas-platform-ms-tenant-manager
0499386b16049b4fc68c2a14c26e96111a237924,TM-1856 Add UTs,saas-platform-ms-tenant-manager
1567153ca40a685620348e4a937cd340830a896b,TM-1862: Fixed Search Filter call for service user,saas-platform-ms-tenant-manager
de05319029fd27a33c0a4194ed59c26c9dba793e,TM-1856 Modify schedular to add delay while writing to customer base,saas-platform-ms-tenant-manager
e206fb21be13b70ea64d11d4968772dd17825ec7,Pull request #802: TM-1753 Resolve Failed IT,saas-platform-ms-tenant-manager
310360561b1234d6d7d310d8d8838487c63b6c1d,TM-1753 Updated,saas-platform-ms-tenant-manager
7afd06890f0c286d5f41a039fd48210de7948083,TM-1753 Resolve Failed IT,saas-platform-ms-tenant-manager
6d183aac2345447b9ef0d1d2b78351853fad6639,Pull request #801: Feature/TM-1739 backend restrict creating partner tenant as child of ot,saas-platform-ms-tenant-manager
059f074dd93a6416d1fd5ab9a65b1d9b55fbc730,Pull request #793: TM-1753 tenant search by name with options startsWith or endsWith,saas-platform-ms-tenant-manager
86f7479ead466bd2c0d9f3350baa28578f5463c1,TM-1753 Merge Conflicts,saas-platform-ms-tenant-manager
a1520af02668e70298ebca26f02c20d9b90e2c00,Merge branch 'master' into feature/TM-1739-backend-restrict-creating-partner-tenant-as-chi,saas-platform-ms-tenant-manager
2e0cf8e14cb672e153adc77575d63081eaed1aae,TM-1739: incorporated review comments,saas-platform-ms-tenant-manager
674e4afdabbb207e38024e80f4b8a7e11725c587,Pull request #795: Feature/TM-1751 Support multiple partners filter with OR condition,saas-platform-ms-tenant-manager
08f0179f1d670a4c711f86f7e5b727a919622449,Pull request #800: TM-1737 Modify migration API to update child tenants count for existing,saas-platform-ms-tenant-manager
f1b54692a3b32074c14f181c8a3e06609eb5e928,TM-1751 : removed commented code,saas-platform-ms-tenant-manager
ba1ac5e62f5594b95c1745e447928232d6c17cea,Merge branch 'master' into feature/TM-1739-backend-restrict-creating-partner-tenant-as-chi,saas-platform-ms-tenant-manager
47f6155231e471f8c2471778b6ca956051fc0eef,TM-1739: Added IT for Partner parent-child resriction behaviour,saas-platform-ms-tenant-manager
6c61349e8cd81eef5f851ec16a9d244b84cc0f6f,TM-1737 Modify migration API to update child tenants count for existing tenants,saas-platform-ms-tenant-manager
79cd759d5a1e99fbcf8480633de0dc139585d455,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
96e2323ec90ea7a895881f51d255602a6c76ec08,TM-1751 : added IT entry in default.xml,saas-platform-ms-tenant-manager
8e63298a9d28a603681dabaacccc7168cc9297c3,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
5b935a29abe5c3b1ba2d6035820e762895c15c47,TM-1751 : fix review comments,saas-platform-ms-tenant-manager
2a9d8b203b22bf48d4bb31b15937f1a09a036caa,Pull request #796: TM-1733 update subtenant agg info api,saas-platform-ms-tenant-manager
719d9e74e0595d305dc542cf8782af8d22b05378,Pull request #798: UH-5776 Updated scaling Policy,saas-platform-ms-tenant-manager
