full_path,file_name,dir_path,repo,loginflow,tenantflow,authenflow,authflow,usercreation,tenantcreation,tenantmodifcation
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/all-files.csv,all-files.csv,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/,saas-platform-ms-tenant-manager,0,0,0,1,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/pom.xml,pom.xml,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/,saas-platform-ms-tenant-manager,1,1,1,0,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/annotations/Legacy.java,Legacy.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/annotations/,saas-platform-ms-tenant-manager,0,0,1,1,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/annotations/TenantManagerAPIVersion.java,TenantManagerAPIVersion.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/annotations/,saas-platform-ms-tenant-manager,0,1,1,1,1,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/ApplicationUserDetails.java,ApplicationUserDetails.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/,saas-platform-ms-tenant-manager,0,1,0,1,1,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/BooleanResponse.java,BooleanResponse.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/,saas-platform-ms-tenant-manager,1,0,1,0,1,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/BaseInfoModeAllowed.java,BaseInfoModeAllowed.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,1,0,0,0,0,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/CustomerType.java,CustomerType.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,0,0,0,0,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/EmailTemplateTokens.java,EmailTemplateTokens.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,0,1,1,1,1,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/FilterLevel.java,FilterLevel.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,0,0,1,0,0,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/PSAAuthType.java,PSAAuthType.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,0,0,0,1,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/TenantApplicationsKeys.java,TenantApplicationsKeys.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,1,0,1,1,1,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/TenantEventType.java,TenantEventType.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,0,1,0,1,1,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/TenantFiltersKeys.java,TenantFiltersKeys.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,0,1,1,0,1,0,0
